Country,Visa Requirement
Afghanistan,Visa required
Albania,Visa required
Algeria,Visa required
Andorra,Visa required
Angola,Visa required
Antigua and Barbuda,eVisa
Argentina,Visa required
Armenia,Visa required
Australia and territories,Visa required
Austria,Visa required
Azerbaijan,Visa required
Bahamas,Visa required
Bahrain,Visa required
Bangladesh,Visa on arrival
Barbados,Visa required
Belarus,Visa required
Belgium,Visa required
Belize,Visa required
Bhutan,Visa required
Bolivia,Visa on arrival
Bosnia and Herzegovina,Visa required
Botswana,Visa required
Brazil,Visa required
Brunei,Visa required
Bulgaria,Visa required
Burkina Faso,Visa not required
Burundi,Visa required
Cambodia,eVisa / Visa on arrival
Cameroon,Visa required
Canada,Visa required
Cape Verde,Visa not required
Central African Republic,Visa not required
Chad,Visa on arrival
Chile,Visa required
China,Visa required
Colombia,Visa required
Comoros,Visa on arrival
Republic of the Congo,Visa on arrival
Democratic Republic of the Congo,Visa required
Costa Rica,Visa required
Côte d'Ivoire,Visa not required
Croatia,Visa required
Cuba,Visa required
Cyprus,Visa required
Czech Republic,Visa required
Denmark,Visa required
Djibouti,eVisa
Dominica,Visa not required
Dominican Republic,Visa required
Ecuador,Visa not required
Egypt,Visa on arrival
El Salvador,Visa required
Equatorial Guinea,Visa required
Eritrea,Visa required
Estonia,Visa required
Eswatini,Visa required
Ethiopia,eVisa / Visa on arrival
Fiji,Visa required
Finland,Visa required
France,Visa required
Gabon,eVisa
Gambia,Visa not required
Georgia,eVisa
Germany,Visa required
Ghana,Visa not required
Greece,Visa required
Grenada,Visa required
Guatemala,Visa required
Guinea,Visa not required
Guinea-Bissau,Visa not required
Guyana,Visa required
Haiti,Visa not required
Honduras,Visa required
Hungary,Visa required
Iceland,Visa required
India,eVisa
Indonesia,Visa not required
Iran,Visa on arrival
Iraq,Visa required
Ireland,Visa required
Israel,Visa required
Italy,Visa required
Jamaica,Visa required
Japan,Visa required
Jordan,Visa required
Kazakhstan,Visa required
Kenya,eVisa
Kiribati,Visa required
North Korea,Visa required
South Korea,Visa required
Kuwait,Visa required
Kyrgyzstan,eVisa
Laos,eVisa / Visa on arrival
Latvia,Visa required
Lebanon,Visa required
Lesotho,eVisa
Liberia,Visa not required
Libya,Visa required
Liechtenstein,Visa required
Lithuania,Visa required
Luxembourg,Visa required
Madagascar,eVisa / Visa on arrival
Malawi,Visa required
Malaysia,Visa not required
Maldives,Visa on arrival
Mali,Visa not required
Malta,Visa required
Marshall Islands,Visa required
Mauritania,Visa on arrival
Mauritius,Visa not required
Mexico,Visa required
Micronesia,Visa not required
Moldova,Visa required
Monaco,Visa required
Mongolia,Visa required
Montenegro,Visa required
Morocco,Visa required
Mozambique,Visa on arrival
Myanmar,Visa required
Namibia,Visa on arrival
Nauru,Visa required
Nepal,Visa on arrival
Netherlands,Visa required
New Zealand,Visa required
Nicaragua,Visa on arrival
Niger,Visa not required
Nigeria,Visa not required
North Macedonia,Visa required
Norway,Visa required
Oman,Visa required
Pakistan,eVisa
Palau,Visa on arrival
Panama,Visa required
Papua New Guinea,Visa required
Paraguay,Visa required
Peru,Visa required
Philippines,Visa not required
Poland,Visa required
Portugal,Visa required
Qatar,eVisa
Romania,Visa required
Russia,Visa required
Rwanda,Visa not required
Saint Kitts and Nevis,Visa required
Saint Lucia,Visa on arrival
Saint Vincent and the Grenadines,Visa not required
Samoa,Visa not required
San Marino,Visa required
São Tomé and Príncipe,eVisa
Saudi Arabia,Visa required
Senegal,Visa not required
Serbia,Visa required
Seychelles,Visa on arrival
Sierra Leone,Visa not required
Singapore,Visa not required
Slovakia,Visa required
Slovenia,Visa required
Solomon Islands,Visa required
Somalia,Visa on arrival
South Africa,Visa not required
South Sudan,Visa required
Spain,Visa required
Sri Lanka,Visa on arrival
Sudan,Visa required
Suriname,eVisa
Sweden,Visa required
Switzerland,Visa required
Syria,Visa required
Tajikistan,eVisa
Tanzania,eVisa / Visa on arrival
Thailand,Visa required
Timor-Leste,Visa on arrival
Togo,Visa not required
Tonga,Visa required
Trinidad and Tobago,Visa required
Tunisia,Visa not required
Turkey,Visa required
Turkmenistan,Visa required
Tuvalu,Visa not required
Uganda,Visa on arrival
Ukraine,Visa required
United Arab Emirates,Visa required
United Kingdom and Crown dependencies,Visa required
United States,Visa required
Uruguay,Visa required
Uzbekistan,Visa required
Vanuatu,Visa required
Vatican City,Visa required
Venezuela,Visa required
Vietnam,Visa required
Yemen,Visa required
Zambia,eVisa
Zimbabwe,eVisa
