Country,Visa Requirement
Afghanistan,Visa required
Albania,Visa required
Algeria,Visa required
Andorra,Visa required
Angola,Visa required
Antigua and Barbuda,Visa not required
Argentina,Visa required
Armenia,Visa required
Australia and territories,Visa required
Austria,Visa required
Azerbaijan,Visa required
Bahamas,Visa not required
Bahrain,Visa required
Bangladesh,Visa on arrival
Barbados,Visa not required
Belarus,Visa required
Belgium,Visa required
Belize,Visa not required
Benin,Visa not required
Bhutan,Visa required
Bolivia,Visa on arrival
Bosnia and Herzegovina,Visa required
Botswana,Visa not required
Brazil,Visa required
Brunei,Visa required
Bulgaria,Visa required
Burkina Faso,Visa required
Burundi,Visa not required
Cambodia,eVisa / Visa on arrival
Cameroon,Visa required
Canada,Travel banned
Cape Verde,Visa on arrival
Central African Republic,Visa required
Chad,Visa required
Chile,Visa required
China,Visa required
Colombia,Visa required
Comoros,Visa on arrival
Republic of the Congo,Visa required
Democratic Republic of the Congo,Visa required
Costa Rica,Visa required
Côte d'Ivoire,Visa required
Croatia,Visa required
Cuba,Visa required
Cyprus,Visa required
Czech Republic,Visa required
Denmark,Visa required
Djibouti,eVisa
Dominica,Visa not required
Dominican Republic,Visa required
Ecuador,Visa not required
Egypt,Visa required
El Salvador,Visa required
Equatorial Guinea,Visa required
Eritrea,Visa not required
Estonia,Visa required
Eswatini,Visa not required
Ethiopia,eVisa / Visa on arrival
Fiji,Visa not required
Finland,Visa required
France,Visa required
Gabon,eVisa
Gambia,Visa not required
Georgia,eVisa
Germany,Visa required
Ghana,Visa not required
Greece,Visa required
Grenada,Visa not required
Guatemala,Visa required
Guinea,Visa required
Guinea-Bissau,eVisa / Visa on arrival
Guyana,Visa required
Haiti,Visa not required
Honduras,Visa required
Hungary,Visa required
Iceland,Visa required
India,eVisa
Indonesia,Visa not required
Iran,Visa on arrival
Iraq,Visa required
Ireland,Visa required
Israel,Visa required
Italy,Visa required
Jamaica,Visa not required
Japan,Visa required
Jordan,Visa required
Kazakhstan,Visa required
Kenya,Visa not required
Kiribati,Visa on arrival
North Korea,Visa required
South Korea,Visa required
Kuwait,Visa required
Kyrgyzstan,eVisa
Laos,eVisa / Visa on arrival
Latvia,Visa required
Lebanon,Visa required
Lesotho,Visa not required
Liberia,Visa required
Libya,Visa required
Liechtenstein,Visa required
Lithuania,Visa required
Luxembourg,Visa required
Madagascar,eVisa / Visa on arrival
Malawi,Visa not required
Malaysia,Visa not required
Maldives,Visa on arrival
Mali,Visa required
Malta,Visa required
Marshall Islands,Visa required
Mauritania,Visa on arrival
Mauritius,Visa not required
Mexico,Visa required
Micronesia,Visa not required
Moldova,Visa required
Monaco,Visa required
Mongolia,Visa required
Montenegro,Visa required
Morocco,Visa required
Mozambique,Visa not required
Myanmar,eVisa
Namibia,Visa on arrival
Nauru,Visa required
Nepal,Visa on arrival
Netherlands,Visa required
New Zealand,Visa required
Nicaragua,Visa on arrival
Niger,Visa required
Nigeria,Visa required
North Macedonia,Visa required
Norway,Visa required
Oman,Visa required
Pakistan,eVisa
Palau,Visa on arrival
Panama,Visa required
Papua New Guinea,Visa required
Paraguay,Visa required
Peru,Visa required
Philippines,Visa not required
Poland,Visa required
Portugal,Visa required
Qatar,eVisa
Romania,Visa required
Russia,Visa required
Rwanda,Visa not required
Saint Kitts and Nevis,Visa not required
Saint Lucia,Visa on arrival
Saint Vincent and the Grenadines,Visa not required
Samoa,Visa on arrival
San Marino,Visa required
São Tomé and Príncipe,eVisa
Saudi Arabia,Visa required
Senegal,Visa on arrival
Serbia,Visa required
Seychelles,Visa on arrival
Sierra Leone,Visa on arrival
Singapore,Visa not required
Slovakia,Visa required
Slovenia,Visa required
Solomon Islands,Visa required
Somalia,Visa on arrival
South Africa,Visa required
South Sudan,Visa on arrival
Spain,Visa required
Sri Lanka,Visa required
Sudan,Visa required
Suriname,eVisa
Sweden,Visa required
Switzerland,Visa required
Syria,Visa required
Taiwan,Visa required
Tajikistan,Visa required
Tanzania,Visa not required
Thailand,Visa required
Timor-Leste,Visa on arrival
Togo,Visa on arrival
Tonga,Visa required
Trinidad and Tobago,Visa required
Tunisia,Visa required
Turkey,Visa required
Turkmenistan,Visa required
Tuvalu,Visa on arrival
Ukraine,Visa required
United Arab Emirates,Visa required
United Kingdom and Crown dependencies,Visa required
United States,Visa required
Uruguay,Visa required
Uzbekistan,Visa required
Vanuatu,Visa not required
Vatican City,Visa required
Venezuela,Visa required
Vietnam,Visa required
Yemen,Visa required
Zambia,Visa not required
Zimbabwe,Visa not required
